id,axis,text,weight,direction,reversed,secondary_axis,secondary_weight,note
q01,attachment,パートナーとの関係で、自分の気持ちや考えを素直に打ち明けられると感じる,1.5,1,FALSE,words,0.3,安定型の核心指標。感情開示の容易さを測定
q02,words,パートナーから「好き」「ありがとう」などの言葉をかけてもらうと、強く愛情を実感できる,1.2,1,FALSE,attachment,0.3,言葉の愛の言語の主軸。言語的肯定を受け取る側の感受性
q03,acts,パートナーが率先して行動や手助けで支えてくれると、愛情を感じる,1.2,1,FALSE,,,"奉仕の行為（Acts of Service）の受け取り側感度"
q04,time,パートナーと一緒に過ごす時間こそが、最も大切な愛情表現だと思う,1.2,1,FALSE,attachment,0.3,一緒にいる時間の重視度。安定型は質の高い共有時間を好む
q05,touch,パートナーとの身体的な触れ合い（手を繋ぐ・ハグなど）が、愛情を実感する大切な手段だ,1.2,1,FALSE,attachment,0.3,"身体的接触（Physical Touch）の愛の言語主軸"
q06,words,愛情は言葉より行動で示すべきで、言葉だけでは物足りないと感じる,1.0,1,TRUE,,,【逆転項目】同意→words軸スコア低下。言葉の言語に低感度な人を識別
q07,attachment,パートナーからの返信が少し遅れるだけで、不安や焦りを感じてしまう,1.5,1,TRUE,,,【逆転項目】同意→attachment軸スコア低下（不安型傾向の測定）
q08,acts,特別なイベントより、日常の小さな気遣いや行動の方に、より深く愛情を感じる,1.0,1,FALSE,time,0.3,日常的な奉仕行為と継続的な時間共有の複合測定
q09,time,パートナーが自分との予定よりも仕事や友人を優先すると、強い寂しさを覚える,1.0,1,FALSE,,,共有時間の剥奪感。不安型との相関があるがtime軸のメイン指標として扱う
q10,touch,スキンシップが少ない関係では、なんとなく距離感や物足りなさを感じてしまう,1.0,1,FALSE,,,身体的接触の欠如に対する感受性
q11,words,パートナーへの感謝や愛情は、言葉でこまめに伝えるようにしている（またはそうしたいと思う）,1.0,1,FALSE,,,言葉の言語を表現する側の能動性も測定
q12,attachment,一人の時間を持つことで気持ちがリセットされ、またパートナーに向き合えると感じる,1.2,1,FALSE,time,0.3,安定型の特徴：個と共存の両立。自律性と関係性の健全なバランス
q13,acts,パートナーのために何かしてあげることが、自分にとっての主な愛情表現の形だ,1.2,1,FALSE,,,奉仕行為を与える側のスタイル測定。言語を使わない愛の表現者
q14,time,忙しい日でも、パートナーと2人きりでいる時間を意識的に確保しようとする,1.0,1,FALSE,acts,0.3,時間を能動的に作る行動性も測定（acts軸への副次寄与）
q15,touch,気分が落ち込んでいるとき、言葉よりも体に触れてもらう方が気持ちが楽になる,1.2,1,FALSE,,,情緒的サポートにおける身体接触の優先度
q16,words,パートナーとは言葉にしなくても察し合えるのが理想で、いちいち言葉で確認する必要は感じない,1.0,1,TRUE,,,【逆転項目】同意→words軸スコア低下。暗黙の理解を好む傾向の識別
q17,attachment,相手が本当に自分のことを好きかどうか、何度も確認したくなることがある,1.2,1,TRUE,,,【逆転項目】同意→attachment軸スコア低下。確認欲求による不安型指標
q18,acts,パートナーがサプライズや工夫を凝らした行動をしてくれると、特別な喜びを感じる,1.0,1,FALSE,words,0.3,特別な奉仕行為への感受性。言葉ではなく形ある行動への反応
q19,time,パートナーと「何もしない時間」をただ隣にいるだけで、十分に満足できる,1.2,1,FALSE,touch,0.3,質より存在の共有を重視。隣にいる物理的近さはtouch軸にも寄与
q20,attachment,恋愛においては、相手への信頼感は焦らず時間をかけて自然に育まれるものだと思う,1.5,1,FALSE,,,安定型の核心指標。信頼の構築に対する余裕と長期的視野
